Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,1378.000000,1430.819946,1375.280029,1425.430054,1404.149780,4267752
2018-01-17,1435.000000,1462.500000,1431.069946,1444.469971,1422.905396,4280806
2018-01-18,1448.500000,1466.500000,1434.030029,1459.099976,1437.316895,2209478
2018-01-19,1465.280029,1491.000000,1451.819946,1479.650024,1457.560303,1820000
2018-01-22,1480.500000,1567.349976,1461.000000,1558.199951,1542.233398,4367110
2018-01-23,1557.469971,1571.180054,1545.030029,1551.000000,1535.107300,3239610
2018-01-24,1545.000000,1629.530029,1541.319946,1587.300049,1571.035400,5621538
2018-01-25,1587.500000,1589.900024,1540.500000,1560.530029,1544.539673,3833844
2018-01-29,1565.699951,1612.500000,1561.000000,1599.430054,1583.041138,3141060
2018-01-30,1590.000000,1601.900024,1571.849976,1576.430054,1560.276855,1574758
2018-01-31,1568.500000,1575.000000,1549.300049,1556.180054,1540.234253,3043214
2018-02-01,1562.000000,1595.000000,1544.400024,1569.300049,1553.219849,2400630
2018-02-02,1560.000000,1595.000000,1551.719971,1576.819946,1560.662720,2456490
2018-02-05,1555.000000,1594.000000,1538.430054,1551.599976,1535.701172,2757742
2018-02-06,1505.000000,1538.569946,1492.500000,1498.619995,1483.264038,2657306
2018-02-07,1513.500000,1515.500000,1473.719971,1477.530029,1462.390137,2180324
2018-02-08,1489.880005,1513.800049,1479.500000,1487.099976,1471.862061,2755004
2018-02-09,1475.000000,1497.000000,1448.319946,1485.849976,1470.624878,2102458
2018-02-12,1489.150024,1511.680054,1477.780029,1483.650024,1468.447388,1974562
2018-02-14,1485.000000,1487.219971,1446.250000,1455.900024,1440.981812,2847532
2018-02-15,1465.969971,1471.500000,1452.550049,1462.930054,1447.939819,2465236
2018-02-16,1461.500000,1499.800049,1461.500000,1466.530029,1451.502930,2515756
2018-02-19,1472.500000,1476.650024,1447.599976,1461.800049,1446.821289,1568224
2018-02-20,1464.000000,1492.530029,1463.949951,1472.380005,1457.292847,1889068
2018-02-21,1487.000000,1531.300049,1480.030029,1521.150024,1505.563232,3089228
2018-02-22,1526.000000,1539.500000,1511.250000,1525.099976,1509.472656,3463010
2018-02-23,1525.000000,1544.500000,1496.050049,1537.900024,1522.141602,3362500
2018-02-26,1537.500000,1544.969971,1510.599976,1515.849976,1500.317383,1363882
2018-02-27,1520.500000,1539.280029,1516.000000,1521.180054,1505.592896,1717800
2018-02-28,1517.500000,1531.969971,1510.719971,1517.530029,1501.980347,2706864
2018-03-01,1524.500000,1530.599976,1510.000000,1518.849976,1503.286743,1718124
2018-03-05,1524.500000,1556.819946,1516.469971,1552.930054,1537.017578,2858168
2018-03-06,1561.000000,1563.500000,1515.069946,1521.400024,1505.810669,1906764
2018-03-07,1535.000000,1544.500000,1509.250000,1513.719971,1498.209229,1917772
2018-03-08,1527.449951,1527.449951,1493.750000,1501.969971,1486.579712,1951826
2018-03-09,1502.500000,1531.599976,1488.599976,1517.050049,1501.505249,1872436
2018-03-12,1521.500000,1541.949951,1517.750000,1526.069946,1510.432739,2091340
2018-03-13,1462.449951,1469.849976,1436.000000,1443.400024,1428.609863,88067154
2018-03-14,1446.469971,1461.530029,1437.530029,1443.449951,1428.659302,3668668
2018-03-15,1447.500000,1451.280029,1427.800049,1434.849976,1420.147461,2348906
2018-03-16,1434.400024,1436.000000,1402.500000,1412.849976,1398.372925,7197482
2018-03-19,1414.500000,1424.000000,1410.000000,1415.500000,1400.995850,3489940
2018-03-20,1410.000000,1436.599976,1409.500000,1432.430054,1417.752319,4024984
2018-03-21,1436.250000,1442.150024,1425.000000,1428.380005,1413.743774,3907678
2018-03-22,1429.969971,1437.969971,1411.280029,1415.680054,1401.173950,2326094
2018-03-23,1401.000000,1417.050049,1399.030029,1409.069946,1394.631592,3654122
2018-03-26,1409.500000,1413.699951,1390.780029,1408.500000,1394.067505,2964210
2018-03-27,1412.500000,1431.500000,1411.530029,1423.849976,1409.260132,2494574
2018-03-28,1417.949951,1437.500000,1412.500000,1424.569946,1409.972778,6865654
2018-04-02,1420.000000,1457.000000,1420.000000,1454.819946,1439.912720,1662988
2018-04-03,1446.050049,1464.949951,1446.050049,1455.619995,1440.704590,1937290
2018-04-04,1464.719971,1467.000000,1446.000000,1455.449951,1440.536377,2841820
2018-04-05,1463.280029,1481.880005,1460.180054,1478.969971,1463.815430,1809424
2018-04-06,1477.000000,1480.000000,1463.280029,1475.150024,1460.034546,1129018
2018-04-09,1469.849976,1481.750000,1457.500000,1461.949951,1446.969727,1235866
2018-04-10,1462.849976,1478.619995,1462.849976,1468.800049,1453.749634,1184532
2018-04-11,1475.300049,1512.500000,1472.800049,1507.069946,1491.627441,3124416
2018-04-12,1505.000000,1575.000000,1503.969971,1569.619995,1553.536499,6114360
2018-04-13,1575.000000,1620.400024,1566.050049,1576.650024,1560.494507,8179118
2018-04-16,1558.000000,1599.969971,1555.380005,1593.819946,1577.488403,6270274
2018-04-17,1593.819946,1597.469971,1573.599976,1583.300049,1567.076416,3301724
2018-04-18,1583.000000,1596.719971,1572.930054,1579.550049,1563.364868,2433066
2018-04-19,1589.949951,1608.599976,1582.880005,1595.569946,1579.220581,4820952
2018-04-20,1625.000000,1711.180054,1620.000000,1701.219971,1683.788086,18465662
2018-04-23,1712.000000,1778.949951,1694.780029,1704.319946,1686.856201,15185910
2018-04-24,1705.000000,1721.569946,1671.250000,1692.819946,1675.474121,8314336
2018-04-25,1692.500000,1741.500000,1682.530029,1735.119995,1717.340698,8196574
2018-04-26,1733.500000,1780.000000,1733.500000,1769.619995,1751.487183,12135034
2018-04-27,1762.500000,1772.000000,1710.000000,1725.969971,1708.284424,4501330
2018-04-30,1725.969971,1774.500000,1718.800049,1766.050049,1747.953857,3458558
2018-05-02,1765.250000,1766.099976,1735.650024,1749.880005,1731.949463,3158046
2018-05-03,1754.900024,1763.000000,1735.199951,1740.930054,1723.091187,3761550
2018-05-04,1746.000000,1748.500000,1735.000000,1740.380005,1722.546753,2347244
2018-05-07,1745.000000,1745.000000,1705.449951,1710.469971,1692.943237,3484426
2018-05-08,1717.349976,1743.250000,1698.349976,1720.599976,1702.969482,2992820
2018-05-09,1720.099976,1747.380005,1720.099976,1744.650024,1726.773071,2615050
2018-05-10,1751.469971,1755.569946,1720.099976,1725.619995,1707.937988,3858678
2018-05-11,1727.099976,1742.500000,1721.250000,1728.469971,1710.758911,2627876
2018-05-14,1728.500000,1735.500000,1705.400024,1716.780029,1699.188721,2433894
2018-05-15,1725.000000,1747.900024,1716.849976,1741.199951,1723.358398,1952890
2018-05-16,1739.969971,1754.500000,1737.619995,1746.949951,1729.049438,1648450
2018-05-17,1756.469971,1766.569946,1738.000000,1745.900024,1728.010254,2968048
2018-05-18,1740.400024,1758.849976,1729.000000,1751.030029,1733.087646,1874996
2018-05-21,1764.349976,1796.000000,1759.030029,1778.380005,1760.157349,3446178
2018-05-22,1779.000000,1787.469971,1746.849976,1754.449951,1736.472534,1857416
2018-05-23,1762.500000,1772.500000,1740.500000,1747.550049,1729.643433,1507298
2018-05-24,1755.000000,1807.500000,1751.180054,1801.849976,1783.386963,2962316
2018-05-25,1812.500000,1837.400024,1786.280029,1792.900024,1774.528687,3769772
2018-05-28,1808.250000,1808.250000,1743.000000,1751.030029,1733.087646,3716798
2018-05-29,1764.949951,1772.000000,1744.000000,1761.750000,1743.697876,3525312
2018-05-30,1754.530029,1766.500000,1741.250000,1757.050049,1739.046021,3779106
2018-05-31,1734.000000,1759.050049,1726.099976,1741.050049,1737.548950,5049371
2018-06-01,1754.000000,1757.500000,1716.300049,1732.449951,1728.966187,1603856
2018-06-04,1745.000000,1749.000000,1712.599976,1744.250000,1740.742554,1681483
2018-06-05,1744.000000,1751.900024,1711.150024,1721.599976,1718.138062,2449568
2018-06-06,1723.000000,1734.900024,1715.199951,1725.750000,1722.279663,2236512
2018-06-07,1725.000000,1749.000000,1723.800049,1735.550049,1732.060059,2414762
2018-06-08,1735.000000,1757.300049,1735.000000,1747.099976,1743.586792,2582138
2018-06-11,1747.099976,1763.000000,1743.000000,1749.699951,1746.181519,2179378
2018-06-12,1757.000000,1785.000000,1753.000000,1781.000000,1777.418579,4608875
2018-06-13,1816.000000,1831.650024,1798.000000,1824.099976,1820.431885,5370983
2018-06-14,1830.000000,1832.300049,1784.000000,1787.550049,1783.955444,3819998
2018-06-15,1800.000000,1847.099976,1788.599976,1840.050049,1836.349976,9183574
2018-06-18,1867.949951,1867.949951,1822.150024,1829.000000,1825.322144,4674987
2018-06-19,1822.150024,1839.000000,1821.000000,1824.500000,1820.831177,3245034
2018-06-20,1832.000000,1836.300049,1818.599976,1822.449951,1818.785278,3107695
2018-06-21,1832.000000,1832.000000,1817.599976,1819.349976,1815.691528,2910659
2018-06-22,1827.000000,1827.000000,1799.550049,1809.800049,1806.160767,2949458
2018-06-25,1811.900024,1822.349976,1806.000000,1819.250000,1815.591675,2083217
2018-06-26,1823.000000,1861.000000,1821.000000,1852.000000,1848.275879,4679712
2018-06-27,1860.000000,1885.150024,1851.250000,1858.000000,1854.263794,4081208
2018-06-28,1865.000000,1871.000000,1826.300049,1842.699951,1838.994507,4888125
2018-06-29,1844.900024,1867.400024,1842.300049,1847.750000,1844.034424,3506276
2018-07-02,1852.000000,1857.800049,1841.099976,1851.349976,1847.627075,2650290
2018-07-03,1859.949951,1879.900024,1857.050049,1874.050049,1870.281616,3242233
2018-07-04,1879.900024,1879.900024,1857.150024,1866.150024,1862.397461,2700614
2018-07-05,1873.000000,1887.500000,1862.099976,1880.300049,1876.519043,2472571
2018-07-06,1882.849976,1921.000000,1881.650024,1912.949951,1909.103271,3713781
2018-07-09,1924.000000,1924.400024,1876.500000,1883.000000,1879.213501,6151747
2018-07-10,1898.000000,1898.900024,1870.750000,1875.099976,1871.329346,5303302
2018-07-11,1900.000000,1998.000000,1894.150024,1979.900024,1975.918701,22903802
2018-07-12,1984.000000,1990.900024,1960.500000,1971.349976,1967.385864,6921701
2018-07-13,1975.000000,1997.900024,1974.000000,1981.099976,1977.116211,4148185
2018-07-16,1990.000000,1996.000000,1977.449951,1989.199951,1985.199951,2582159
2018-07-17,1989.000000,2009.000000,1981.000000,2002.150024,2002.150024,3315492
2018-07-18,2005.000000,2011.699951,1993.050049,2000.250000,2000.250000,2013869
2018-07-19,2002.099976,2010.449951,1970.000000,1981.400024,1981.400024,1746318
2018-07-20,1984.900024,2000.000000,1984.000000,1996.599976,1996.599976,1934995
2018-07-23,2001.000000,2009.949951,1986.000000,2005.650024,2005.650024,2086201
2018-07-24,2015.000000,2015.000000,1984.150024,1999.000000,1999.000000,2038423
2018-07-25,2001.900024,2002.000000,1968.400024,1981.500000,1981.500000,1535492
2018-07-26,1974.949951,1985.000000,1955.099976,1964.699951,1964.699951,3503036
2018-07-27,1960.849976,1964.650024,1940.300049,1943.750000,1943.750000,2033977
2018-07-30,1943.000000,1954.699951,1931.550049,1944.599976,1944.599976,1579251
2018-07-31,1942.000000,1947.000000,1928.000000,1940.199951,1940.199951,2204803
2018-08-01,1949.949951,1981.550049,1949.800049,1976.500000,1976.500000,2425180
2018-08-02,1980.000000,1985.000000,1945.000000,1948.400024,1948.400024,1509287
2018-08-03,1956.500000,1982.050049,1956.500000,1979.449951,1979.449951,1505131
2018-08-06,1997.000000,1998.949951,1972.250000,1975.550049,1975.550049,1532249
2018-08-07,1978.199951,1979.150024,1960.500000,1967.349976,1967.349976,1353560
2018-08-08,1972.000000,1978.300049,1962.000000,1974.000000,1974.000000,1315062
2018-08-09,1980.000000,1980.800049,1966.000000,1974.349976,1974.349976,2060297
2018-08-10,1980.949951,1996.500000,1972.050049,1993.099976,1993.099976,2784105
2018-08-13,1997.800049,2004.250000,1990.000000,2000.150024,2000.150024,3559575
2018-08-14,1992.000000,2024.599976,1982.400024,2003.550049,2003.550049,3311765
2018-08-16,2000.300049,2020.050049,1995.000000,2008.500000,2008.500000,2152065
2018-08-17,2013.849976,2021.900024,2004.000000,2012.750000,2012.750000,1213731
2018-08-20,2024.000000,2024.000000,2003.699951,2009.949951,2009.949951,1587032
2018-08-21,2010.150024,2024.000000,2004.000000,2017.650024,2017.650024,1376866
2018-08-23,2022.800049,2038.000000,2020.300049,2035.099976,2035.099976,3046791
2018-08-24,2035.099976,2046.000000,2031.000000,2043.000000,2043.000000,1570533
2018-08-27,2043.000000,2059.000000,2035.000000,2050.899902,2050.899902,1532702
2018-08-28,2055.000000,2072.000000,2052.000000,2069.199951,2069.199951,1987983
2018-08-29,2072.500000,2076.600098,2045.599976,2072.000000,2072.000000,1525867
2018-08-30,2068.000000,2085.000000,2065.500000,2082.399902,2082.399902,2408020
2018-08-31,2082.300049,2092.000000,2074.000000,2078.399902,2078.399902,2504554
2018-09-03,2084.800049,2090.000000,2048.399902,2052.899902,2052.899902,1439711
2018-09-04,2059.800049,2104.750000,2056.949951,2098.899902,2098.899902,4420803
2018-09-05,2100.000000,2107.250000,2075.050049,2079.250000,2079.250000,1681106
2018-09-06,2075.000000,2081.500000,2060.300049,2075.300049,2075.300049,2238097
2018-09-07,2079.300049,2084.000000,2065.399902,2079.850098,2079.850098,1312182
2018-09-10,2084.399902,2093.399902,2074.250000,2080.750000,2080.750000,1530539
2018-09-11,2089.000000,2089.000000,2042.199951,2046.250000,2046.250000,3679745
2018-09-12,2052.350098,2068.899902,2040.000000,2043.949951,2043.949951,2307661
2018-09-14,2044.000000,2071.550049,2018.150024,2065.399902,2065.399902,3642038
2018-09-17,2070.000000,2077.800049,2054.550049,2074.149902,2074.149902,1033857
2018-09-18,2073.000000,2078.800049,2057.600098,2070.750000,2070.750000,1456507
2018-09-19,2071.899902,2089.000000,2066.850098,2077.899902,2077.899902,1301268
2018-09-21,2077.000000,2121.000000,2050.149902,2103.149902,2103.149902,4508530
2018-09-24,2115.000000,2210.500000,2098.149902,2198.449951,2198.449951,3032226
2018-09-25,2204.899902,2211.899902,2153.800049,2183.199951,2183.199951,2868778
2018-09-26,2187.000000,2199.000000,2135.100098,2142.149902,2142.149902,1970951
2018-09-27,2141.899902,2209.699951,2135.800049,2188.850098,2188.850098,3311802
2018-09-28,2178.000000,2190.000000,2158.850098,2183.699951,2183.699951,2904371
2018-10-01,2190.899902,2275.949951,2190.350098,2255.550049,2255.550049,3772208
